"P.Intercept","P.Elevation.m","P.Elevation.m2","P.Resurvey.Burned.fi","P.Resurvey.Unburned.fi","P.Elevation.m.Res.Burn.fi","P.Elevation.m.Res.Unburn.fi","P.Elevation.m2.Res.Burn.fi","P.Elevation.m2.Res.Unburn.fi","Species","Fire.Included","Significance"
100,NA,NA,100,NA,NA,94,NA,NA,"ACMI","Yes","Significant"
NA,NA,NA,NA,NA,NA,6,NA,NA,"ACMI","Yes","Marginal"
NA,100,100,NA,100,100,NA,100,100,"ACMI","Yes","NS"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACMI","Yes","Ignore"
100,100,NA,NA,NA,NA,82,NA,NA,"ARUV","Yes","Significant"
NA,NA,NA,NA,4,NA,18,NA,NA,"ARUV","Yes","Marginal"
NA,NA,100,100,96,100,NA,100,100,"ARUV","Yes","NS"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"ARUV","Yes","Ignore"
100,100,NA,NA,74,NA,NA,NA,3,"CARU","Yes","Significant"
NA,NA,100,30,26,NA,NA,NA,10,"CARU","Yes","Marginal"
NA,NA,NA,70,NA,100,100,100,87,"CARU","Yes","NS"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARU","Yes","Ignore"
100,NA,100,99,NA,NA,NA,NA,NA,"CEVE","Yes","Significant"
NA,100,NA,NA,50,NA,NA,NA,NA,"CEVE","Yes","Marginal"
NA,NA,NA,1,50,100,100,100,100,"CEVE","Yes","NS"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"CEVE","Yes","Ignore"
100,NA,100,93,NA,NA,NA,NA,4,"EPAN","Yes","Significant"
NA,NA,NA,4,NA,17,NA,NA,18,"EPAN","Yes","Marginal"
NA,100,NA,3,100,83,100,100,78,"EPAN","Yes","NS"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"EPAN","Yes","Ignore"
100,100,100,23,70,NA,NA,NA,NA,"PAMY","Yes","Significant"
NA,NA,NA,19,25,NA,NA,NA,NA,"PAMY","Yes","Marginal"
NA,NA,NA,58,5,100,100,100,100,"PAMY","Yes","NS"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"PAMY","Yes","Ignore"
100,100,100,NA,40,98,NA,NA,NA,"VAME","Yes","Significant"
NA,NA,NA,79,33,1,3,NA,NA,"VAME","Yes","Marginal"
NA,NA,NA,21,27,1,97,NA,NA,"VAME","Yes","NS"
NA,NA,NA,NA,NA,NA,NA,100,100,"VAME","Yes","Ignore"
